HVC,RGB
10.0GY_9_14,124_255_108
10.0GY_9_16,99_255_84
10.0GY_9_18,64_255_55
2.5G_1_2,20_31_26
2.5G_1_4,0_35_19
2.5G_1_6,0_38_13
2.5G_1_8,0_41_8
2.5G_2_2,41_52_47
2.5G_2_4,24_55_40
2.5G_2_6,0_58_34
2.5G_2_8,0_60_29
2.5G_2_10,0_63_24
2.5G_2_12,0_65_19
2.5G_2_14,0_66_16
2.5G_2_16,0_68_13
2.5G_3_2,62_75_68
2.5G_3_4,45_79_61
2.5G_3_6,18_82_54
2.5G_3_8,0_85_48
2.5G_3_10,0_88_42
2.5G_3_12,0_90_36
2.5G_3_14,0_91_32
2.5G_3_16,0_93_28
2.5G_3_18,0_94_25
2.5G_3_20,0_95_22
2.5G_3_22,0_97_20
2.5G_4_2,85_100_93
2.5G_4_4,68_104_84
2.5G_4_6,43_108_75
2.5G_4_8,0_112_68
2.5G_4_10,0_115_60
2.5G_4_12,0_117_53
2.5G_4_14,0_119_47
2.5G_4_16,0_121_42
2.5G_4_18,0_123_37
2.5G_4_20,0_124_34
2.5G_4_22,0_125_30
2.5G_4_24,0_127_27
2.5G_4_26,0_128_24
2.5G_5_2,110_126_118
2.5G_5_4,94_130_109
2.5G_5_6,74_134_100
2.5G_5_8,46_138_91
2.5G_5_10,0_141_83
2.5G_5_12,0_144_74
2.5G_5_14,0_147_67
2.5G_5_16,0_149_59
2.5G_5_18,0_152_53
2.5G_5_20,0_153_47
2.5G_5_22,0_155_42
2.5G_5_24,0_156_37
2.5G_5_26,0_158_33
2.5G_5_28,0_159_29
2.5G_6_2,135_152_143
2.5G_6_4,118_157_133
2.5G_6_6,100_161_123
2.5G_6_8,78_164_114
2.5G_6_10,43_168_105
2.5G_6_12,0_171_97
2.5G_6_14,0_174_87
2.5G_6_16,0_177_79
2.5G_6_18,0_179_71
2.5G_6_20,0_182_64
2.5G_6_22,0_184_57
2.5G_6_24,0_186_50
2.5G_6_26,0_188_43
2.5G_6_28,0_189_37
2.5G_7_2,161_178_169
2.5G_7_4,144_183_159
2.5G_7_6,128_187_149
2.5G_7_8,107_191_138
2.5G_7_10,80_195_128
2.5G_7_12,32_198_118
2.5G_7_14,0_202_109
2.5G_7_16,0_205_100
2.5G_7_18,0_207_91
2.5G_7_20,0_210_82
2.5G_7_22,0_212_73
2.5G_7_24,0_214_66
2.5G_7_26,0_217_57
2.5G_8_2,186_205_195
2.5G_8_4,170_210_184
2.5G_8_6,151_215_173
2.5G_8_8,132_218_162
2.5G_8_10,109_222_152
2.5G_8_12,74_226_141
2.5G_8_14,0_229_131
2.5G_8_16,0_233_120
2.5G_8_18,0_236_110
2.5G_8_20,0_239_100
2.5G_8_22,0_241_91
2.5G_8_24,0_243_82
2.5G_9_2,212_232_222
2.5G_9_4,195_237_210
2.5G_9_6,174_243_196
2.5G_9_8,154_247_185
2.5G_9_10,130_251_173
2.5G_9_12,102_255_163
2.5G_9_14,56_255_151
2.5G_9_16,0_255_140
5.0G_1_2,19_31_27
5.0G_1_4,0_35_23
5.0G_1_6,0_38_20
5.0G_1_8,0_41_18
5.0G_2_2,40_52_48
5.0G_2_4,21_55_44
5.0G_2_6,0_58_40
5.0G_2_8,0_61_38
5.0G_2_10,0_63_35
5.0G_2_12,0_65_34
5.0G_2_14,0_66_33
5.0G_2_16,0_68_32
5.0G_3_2,60_75_70
5.0G_3_4,40_79_65
5.0G_3_6,0_83_61
5.0G_3_8,0_85_58
5.0G_3_10,0_88_55
5.0G_3_12,0_90_53
5.0G_3_14,0_92_51
5.0G_3_16,0_93_50
5.0G_3_18,0_94_49
5.0G_3_20,0_96_48
5.0G_3_22,0_97_47
5.0G_4_2,84_100_95
5.0G_4_4,63_105_89
5.0G_4_6,33_109_84
5.0G_4_8,0_112_79
5.0G_4_10,0_115_76
5.0G_4_12,0_118_73
5.0G_4_14,0_120_70
5.0G_4_16,0_122_69
5.0G_4_18,0_123_67
5.0G_4_20,0_125_66
5.0G_4_22,0_126_65
5.0G_4_24,0_127_65
5.0G_4_26,0_128_64
5.0G_5_2,108_126_121
5.0G_5_4,89_130_114
5.0G_5_6,66_135_109
5.0G_5_8,19_138_103
5.0G_5_10,0_142_99
5.0G_5_12,0_145_95
5.0G_5_14,0_148_92
5.0G_5_16,0_150_90
5.0G_5_18,0_152_88
5.0G_5_20,0_154_86
5.0G_5_22,0_155_85
5.0G_5_24,0_157_83
5.0G_5_26,0_158_82
5.0G_5_28,0_160_82
5.0G_6_2,133_152_146
5.0G_6_4,113_157_139
5.0G_6_6,91_161_133
5.0G_6_8,62_165_128
5.0G_6_10,0_169_124
5.0G_6_12,0_172_119
5.0G_6_14,0_175_115
5.0G_6_16,0_178_112
5.0G_6_18,0_180_110
5.0G_6_20,0_183_107
5.0G_6_22,0_185_105
5.0G_6_24,0_187_103
5.0G_6_26,0_188_102
5.0G_6_28,0_190_101
5.0G_7_2,158_178_173
5.0G_7_4,139_183_166
5.0G_7_6,119_188_160
5.0G_7_8,93_192_154
5.0G_7_10,51_196_148
5.0G_7_12,0_199_143
5.0G_7_14,0_203_138
5.0G_7_16,0_206_135
5.0G_7_18,0_209_132
5.0G_7_20,0_211_129
5.0G_7_22,0_214_126
5.0G_7_24,0_216_124
5.0G_7_26,0_217_123
5.0G_8_2,184_205_199
5.0G_8_4,165_210_192
5.0G_8_6,142_215_184
5.0G_8_8,117_220_178
5.0G_8_10,83_224_172
5.0G_8_12,0_228_167
5.0G_8_14,0_231_162
5.0G_8_16,0_234_158
5.0G_8_18,0_237_154
5.0G_8_20,0_240_151
5.0G_8_22,0_243_148
5.0G_9_2,210_232_226
5.0G_9_4,189_238_218
5.0G_9_6,163_244_209
5.0G_9_8,137_249_203
5.0G_9_10,105_253_197
5.0G_9_12,46_255_191
7.5G_1_2,18_31_28
7.5G_1_4,0_35_26
7.5G_1_6,0_38_25
7.5G_1_8,0_41_24
7.5G_2_2,39_52_49
7.5G_2_4,17_56_47
7.5G_2_6,0_58_45
7.5G_2_8,0_61_44
7.5G_2_10,0_63_43
7.5G_2_12,0_65_42
7.5G_2_14,0_67_42
7.5G_2_16,0_68_42
7.5G_3_2,59_75_72
7.5G_3_4,36_80_69
7.5G_3_6,0_83_66
7.5G_3_8,0_85_65
7.5G_3_10,0_88_63
7.5G_3_12,0_90_62
7.5G_3_14,0_92_62
7.5G_3_16,0_93_61
7.5G_3_18,0_95_61
7.5G_3_20,0_96_60
7.5G_3_22,0_97_60
7.5G_4_2,82_100_97
7.5G_4_4,60_105_93
7.5G_4_6,23_109_90
7.5G_4_8,0_112_87
7.5G_4_10,0_115_85
7.5G_4_12,0_118_84
7.5G_4_14,0_120_83
7.5G_4_16,0_122_82
7.5G_4_18,0_124_81
7.5G_4_20,0_125_81
7.5G_4_22,0_126_80
7.5G_4_24,0_127_80
7.5G_4_26,0_128_80
7.5G_5_2,107_126_123
7.5G_5_4,86_131_118
7.5G_5_6,60_135_115
7.5G_5_8,0_139_112
7.5G_5_10,0_142_109
7.5G_5_12,0_145_107
7.5G_5_14,0_148_105
7.5G_5_16,0_150_104
7.5G_5_18,0_152_103
7.5G_5_20,0_154_102
7.5G_5_22,0_156_101
7.5G_5_24,0_157_101
7.5G_5_26,0_158_100
7.5G_5_28,0_160_100
7.5G_6_2,132_152_149
7.5G_6_4,110_157_144
7.5G_6_6,86_161_140
7.5G_6_8,51_165_137
7.5G_6_10,0_169_134
7.5G_6_12,0_172_131
7.5G_6_14,0_175_129
7.5G_6_16,0_178_127
7.5G_6_18,0_181_125
7.5G_6_20,0_183_124
7.5G_6_22,0_185_123
7.5G_6_24,0_187_122
7.5G_6_26,0_188_121
7.5G_6_28,0_190_120
7.5G_7_2,157_178_175
7.5G_7_4,137_183_170
7.5G_7_6,115_188_166
7.5G_7_8,85_192_162
7.5G_7_10,26_196_158
7.5G_7_12,0_200_155
7.5G_7_14,0_203_152
7.5G_7_16,0_206_150
7.5G_7_18,0_209_148
7.5G_7_20,0_212_146
7.5G_7_22,0_214_145
7.5G_7_24,0_216_144
7.5G_7_26,0_217_143
7.5G_8_2,183_205_202
7.5G_8_4,162_210_197
7.5G_8_6,137_215_192
7.5G_8_8,110_220_188
7.5G_8_10,70_224_183
7.5G_8_12,0_228_180
7.5G_8_14,0_231_177
7.5G_8_16,0_235_174
7.5G_8_18,0_238_171
7.5G_8_20,0_240_169
7.5G_9_2,208_232_229
7.5G_9_4,186_238_223
7.5G_9_6,158_244_217
7.5G_9_8,128_249_212
7.5G_9_10,92_253_208
7.5G_9_12,0_255_204
10.0G_1_2,17_31_30
10.0G_1_4,0_35_29
10.0G_1_6,0_38_30
10.0G_1_8,0_41_31
10.0G_2_2,38_52_51
10.0G_2_4,13_56_50
10.0G_2_6,0_58_49
10.0G_2_8,0_61_49
10.0G_2_10,0_63_50
10.0G_2_12,0_65_50
10.0G_2_14,0_67_51
10.0G_2_16,0_68_52
10.0G_3_2,58_75_74
10.0G_3_4,32_80_72
10.0G_3_6,0_83_72
10.0G_3_8,0_86_71
10.0G_3_10,0_88_71
10.0G_3_12,0_90_71
10.0G_3_14,0_92_71
10.0G_3_16,0_94_72
10.0G_3_18,0_95_72
10.0G_3_20,0_96_73
10.0G_3_22,0_97_73
10.0G_4_2,81_100_99
10.0G_4_4,57_105_97
10.0G_4_6,10_109_96
10.0G_4_8,0_112_95
10.0G_4_10,0_115_94
10.0G_4_12,0_118_94
10.0G_4_14,0_120_94
10.0G_4_16,0_122_94
10.0G_4_18,0_124_94
10.0G_4_20,0_125_94
10.0G_4_22,0_126_95
10.0G_4_24,0_127_95
10.0G_4_26,0_128_95
10.0G_5_2,106_126_125
10.0G_5_4,84_131_123
10.0G_5_6,55_135_121
10.0G_5_8,0_139_119
10.0G_5_10,0_142_118
10.0G_5_12,0_146_117
10.0G_5_14,0_148_117
10.0G_5_16,0_150_117
10.0G_5_18,0_153_117
10.0G_5_20,0_154_116
10.0G_5_22,0_156_117
10.0G_5_24,0_157_117
10.0G_5_26,0_158_117
10.0G_5_28,0_159_117
10.0G_6_2,131_152_151
10.0G_6_4,107_157_148
10.0G_6_6,82_161_146
10.0G_6_8,38_165_145
10.0G_6_10,0_169_143
10.0G_6_12,0_173_142
10.0G_6_14,0_175_141
10.0G_6_16,0_178_140
10.0G_6_18,0_181_140
10.0G_6_20,0_183_139
10.0G_6_22,0_185_139
10.0G_6_24,0_187_139
10.0G_6_26,0_188_139
10.0G_7_2,156_178_178
10.0G_7_4,135_183_175
10.0G_7_6,110_188_172
10.0G_7_8,77_192_170
10.0G_7_10,0_196_168
10.0G_7_12,0_200_167
10.0G_7_14,0_203_166
10.0G_7_16,0_206_165
10.0G_7_18,0_209_164
10.0G_7_20,0_212_163
10.0G_7_22,0_214_162
10.0G_7_24,0_216_162
10.0G_8_2,182_205_205
10.0G_8_4,160_210_201
10.0G_8_6,134_215_199
10.0G_8_8,104_220_196
10.0G_8_10,56_224_194
10.0G_8_12,0_228_192
10.0G_8_14,0_231_191
10.0G_8_16,0_235_189
10.0G_8_18,0_238_188
10.0G_8_20,0_241_187
10.0G_9_2,208_232_232
10.0G_9_4,183_238_228
10.0G_9_6,154_244_225
10.0G_9_8,120_249_222
10.0G_9_10,77_253_220
10.0G_9_12,0_255_218
2.5BG_1_2,15_32_31
2.5BG_1_4,0_35_33
2.5BG_1_6,0_38_36
2.5BG_1_8,0_41_39
2.5BG_2_2,37_52_52
2.5BG_2_4,8_56_54
2.5BG_2_6,0_58_55
2.5BG_2_8,0_61_57
2.5BG_2_10,0_63_58
2.5BG_2_12,0_65_60
2.5BG_2_14,0_67_61
2.5BG_3_2,57_75_76
2.5BG_3_4,28_80_77
2.5BG_3_6,0_83_78
2.5BG_3_8,0_86_79
2.5BG_3_10,0_88_81
2.5BG_3_12,0_90_82
2.5BG_3_14,0_92_83
2.5BG_3_16,0_94_85
2.5BG_3_18,0_95_86
2.5BG_3_20,0_96_87
2.5BG_4_2,80_100_101
2.5BG_4_4,54_105_102
2.5BG_4_6,0_109_102
2.5BG_4_8,0_112_103
2.5BG_4_10,0_115_105
2.5BG_4_12,0_118_106
2.5BG_4_14,0_120_108
2.5BG_4_16,0_122_109
2.5BG_4_18,0_124_110
2.5BG_4_20,0_125_111
2.5BG_4_22,0_126_112
2.5BG_4_24,0_127_113
2.5BG_5_2,105_126_127
2.5BG_5_4,82_131_127
2.5BG_5_6,51_135_127
2.5BG_5_8,0_139_128
2.5BG_5_10,0_142_129
2.5BG_5_12,0_146_130
2.5BG_5_14,0_148_131
2.5BG_5_16,0_150_133
2.5BG_5_18,0_153_134
2.5BG_5_20,0_155_135
2.5BG_5_22,0_156_136
2.5BG_5_24,0_157_137
2.5BG_6_2,130_152_153
2.5BG_6_4,105_157_153
2.5BG_6_6,78_161_152
2.5BG_6_8,19_165_153
2.5BG_6_10,0_169_154
2.5BG_6_12,0_172_154
2.5BG_6_14,0_175_155
2.5BG_6_16,0_178_156
2.5BG_6_18,0_181_157
2.5BG_6_20,0_183_159
2.5BG_6_22,0_185_160
2.5BG_7_2,156_178_180
2.5BG_7_4,133_183_179
2.5BG_7_6,108_188_178
2.5BG_7_8,69_192_178
2.5BG_7_10,0_196_179
2.5BG_7_12,0_200_179
2.5BG_7_14,0_203_180
2.5BG_7_16,0_206_181
2.5BG_7_18,0_209_181
2.5BG_7_20,0_211_182
2.5BG_7_22,0_214_183
2.5BG_8_2,181_205_207
2.5BG_8_4,158_210_205
2.5BG_8_6,131_215_205
2.5BG_8_8,98_220_204
2.5BG_8_10,36_224_204
2.5BG_8_12,0_228_204
2.5BG_8_14,0_231_205
2.5BG_8_16,0_234_205
2.5BG_8_18,0_238_206
2.5BG_9_2,207_232_234
2.5BG_9_4,182_238_233
2.5BG_9_6,150_244_232
2.5BG_9_8,113_249_231
2.5BG_9_10,61_253_231
5.0BG_1_2,14_32_34
5.0BG_1_4,0_35_39
5.0BG_1_6,0_38_44
5.0BG_2_2,36_52_55
5.0BG_2_4,4_55_58
5.0BG_2_6,0_58_62
5.0BG_2_8,0_61_66
5.0BG_2_10,0_63_70
5.0BG_2_12,0_65_73
5.0BG_3_2,56_75_78
5.0BG_3_4,24_80_82
5.0BG_3_6,0_83_85
5.0BG_3_8,0_85_89
5.0BG_3_10,0_88_93
5.0BG_3_12,0_90_96
5.0BG_3_14,0_92_99
5.0BG_3_16,0_94_102
5.0BG_3_18,0_95_104
5.0BG_4_2,80_100_104
5.0BG_4_4,52_105_107
5.0BG_4_6,0_109_110
5.0BG_4_8,0_112_114
5.0BG_4_10,0_115_117
5.0BG_4_12,0_118_121
5.0BG_4_14,0_120_124
5.0BG_4_16,0_122_127
5.0BG_4_18,0_124_129
5.0BG_4_20,0_125_132
5.0BG_5_2,104_126_130
5.0BG_5_4,80_130_132
5.0BG_5_6,45_134_135
5.0BG_5_8,0_138_139
5.0BG_5_10,0_142_142
5.0BG_5_12,0_145_145
5.0BG_5_14,0_148_148
5.0BG_5_16,0_150_151
5.0BG_5_18,0_153_154
5.0BG_5_20,0_155_157
5.0BG_5_22,0_156_159
5.0BG_6_2,129_152_156
5.0BG_6_4,104_157_158
5.0BG_6_6,72_161_161
5.0BG_6_8,0_165_164
5.0BG_6_10,0_169_167
5.0BG_6_12,0_172_169
5.0BG_6_14,0_175_172
5.0BG_6_16,0_178_175
5.0BG_6_18,0_181_178
5.0BG_6_20,0_183_180
5.0BG_7_2,155_178_183
5.0BG_7_4,131_183_185
5.0BG_7_6,105_187_186
5.0BG_7_8,60_192_189
5.0BG_7_10,0_196_191
5.0BG_7_12,0_199_194
5.0BG_7_14,0_203_196
5.0BG_7_16,0_206_199
5.0BG_7_18,0_209_202
5.0BG_7_20,0_211_204
5.0BG_8_2,181_205_210
5.0BG_8_4,157_210_211
5.0BG_8_6,129_215_213
5.0BG_8_8,89_219_215
5.0BG_8_10,0_224_217
5.0BG_8_12,0_228_219
5.0BG_8_14,0_231_221
5.0BG_8_16,0_234_223
5.0BG_9_2,207_232_237
5.0BG_9_4,180_238_238
5.0BG_9_6,147_244_240
5.0BG_9_8,105_249_241
5.0BG_9_10,37_253_243
7.5BG_1_2,13_31_36
7.5BG_1_4,0_35_42
7.5BG_1_6,0_38_49
7.5BG_2_2,36_52_56
7.5BG_2_4,1_55_62
7.5BG_2_6,0_58_67
7.5BG_2_8,0_61_73
7.5BG_2_10,0_63_78
7.5BG_2_12,0_65_82
7.5BG_3_2,56_75_81
7.5BG_3_4,21_79_87
7.5BG_3_6,0_82_92
7.5BG_3_8,0_85_97
7.5BG_3_10,0_88_102
7.5BG_3_12,0_90_106
7.5BG_3_14,0_92_110
7.5BG_3_16,0_94_114
7.5BG_4_2,79_100_106
7.5BG_4_4,51_104_111
7.5BG_4_6,0_108_117
7.5BG_4_8,0_112_123
7.5BG_4_10,0_115_128
7.5BG_4_12,0_117_133
7.5BG_4_14,0_120_138
7.5BG_4_16,0_122_142
7.5BG_4_18,0_124_145
7.5BG_5_2,104_126_132
7.5BG_5_4,79_130_137
7.5BG_5_6,40_134_142
7.5BG_5_8,0_138_147
7.5BG_5_10,0_141_153
7.5BG_5_12,0_145_158
7.5BG_5_14,0_147_163
7.5BG_5_16,0_150_167
7.5BG_5_18,0_153_172
7.5BG_6_2,129_152_159
7.5BG_6_4,103_157_164
7.5BG_6_6,70_161_168
7.5BG_6_8,0_165_173
7.5BG_6_10,0_168_178
7.5BG_6_12,0_172_183
7.5BG_6_14,0_175_187
7.5BG_6_16,0_177_191
7.5BG_6_18,0_180_196
7.5BG_7_2,155_178_185
7.5BG_7_4,130_183_190
7.5BG_7_6,103_187_194
7.5BG_7_8,55_191_198
7.5BG_7_10,0_195_203
7.5BG_7_12,0_199_208
7.5BG_7_14,0_202_212
7.5BG_7_16,0_205_217
7.5BG_7_18,0_208_221
7.5BG_8_2,181_204_213
7.5BG_8_4,157_209_216
7.5BG_8_6,125_214_221
7.5BG_8_8,84_219_226
7.5BG_8_10,0_223_230
7.5BG_8_12,0_227_234
7.5BG_8_14,0_230_238
7.5BG_8_16,0_234_242
7.5BG_9_2,207_231_241
7.5BG_9_4,179_238_245
7.5BG_9_6,145_243_249
7.5BG_9_8,97_248_254
7.5BG_9_10,0_252_255
10.0BG_1_2,12_31_38
10.0BG_1_4,0_34_46
10.0BG_1_6,0_37_55
10.0BG_2_2,35_52_58
10.0BG_2_4,0_55_66
10.0BG_2_6,0_57_74
10.0BG_2_8,0_60_82
10.0BG_2_10,0_63_89
10.0BG_3_2,55_75_83
10.0BG_3_4,21_79_91
10.0BG_3_6,0_82_99
10.0BG_3_8,0_84_106
10.0BG_3_10,0_87_114
10.0BG_3_12,0_90_120
10.0BG_3_14,0_92_127
10.0BG_4_2,79_100_108
10.0BG_4_4,51_104_116
10.0BG_4_6,0_107_124
10.0BG_4_8,0_111_132
10.0BG_4_10,0_114_140
10.0BG_4_12,0_117_147
10.0BG_4_14,0_119_154
10.0BG_4_16,0_121_159
10.0BG_5_2,105_125_134
10.0BG_5_4,80_129_142
10.0BG_5_6,39_133_150
10.0BG_5_8,0_137_157
10.0BG_5_10,0_140_165
10.0BG_5_12,0_144_173
10.0BG_5_14,0_146_179
10.0BG_5_16,0_149_186
10.0BG_6_2,130_151_161
10.0BG_6_4,105_156_168
10.0BG_6_6,70_160_176
10.0BG_6_8,0_164_183
10.0BG_6_10,0_167_190
10.0BG_6_12,0_170_197
10.0BG_6_14,0_173_204
10.0BG_6_16,0_176_211
10.0BG_6_18,0_179_218
10.0BG_7_2,156_177_188
10.0BG_7_4,131_182_195
10.0BG_7_6,103_186_201
10.0BG_7_8,52_190_209
10.0BG_7_10,0_194_216
10.0BG_7_12,0_198_223
10.0BG_7_14,0_201_230
10.0BG_7_16,0_205_238
10.0BG_8_2,183_204_215
10.0BG_8_4,157_209_222
10.0BG_8_6,125_214_228
10.0BG_8_8,82_218_235
10.0BG_8_10,0_222_242
10.0BG_8_12,0_226_249
10.0BG_8_14,0_230_255
10.0BG_9_2,209_231_243
10.0BG_9_4,180_237_250
10.0BG_9_6,144_242_255
2.5B_1_2,12_31_39
2.5B_1_4,0_34_49
2.5B_1_6,0_36_59
2.5B_2_2,35_52_60
2.5B_2_4,0_54_69
2.5B_2_6,0_57_79
2.5B_2_8,0_60_89
2.5B_2_10,0_62_99
2.5B_3_2,55_75_85
2.5B_3_4,22_78_95
2.5B_3_6,0_81_105
2.5B_3_8,0_84_114
2.5B_3_10,0_86_124
2.5B_3_12,0_89_133
2.5B_4_2,80_99_110
2.5B_4_4,53_103_120
2.5B_4_6,0_106_130
2.5B_4_8,0_109_140
2.5B_4_10,0_112_151
2.5B_4_12,0_115_159
2.5B_4_14,0_118_169
2.5B_4_16,0_120_175
2.5B_5_2,106_125_136
2.5B_5_4,82_129_146
2.5B_5_6,43_132_155
2.5B_5_8,0_135_165
2.5B_5_10,0_139_175
2.5B_5_12,0_142_186
2.5B_5_14,0_145_194
2.5B_5_16,0_148_204
2.5B_6_2,131_151_163
2.5B_6_4,107_155_172
2.5B_6_6,73_159_182
2.5B_6_8,0_162_192
2.5B_6_10,0_165_201
2.5B_6_12,0_169_211
2.5B_6_14,0_172_220
2.5B_6_16,0_175_230
2.5B_7_2,158_177_190
2.5B_7_4,133_181_199
2.5B_7_6,105_185_208
2.5B_7_8,58_189_217
2.5B_7_10,0_193_227
2.5B_7_12,0_196_238
2.5B_7_14,0_199_247
2.5B_7_16,0_203_255
2.5B_8_2,185_203_217
2.5B_8_4,158_208_226
2.5B_8_6,127_213_235
2.5B_8_8,84_217_245
2.5B_8_10,0_221_255
2.5B_8_12,0_225_255
2.5B_9_2,211_230_245
2.5B_9_4,181_236_255
5.0B_1_2,12_31_41
5.0B_1_4,0_33_52
5.0B_1_6,0_35_63
5.0B_2_2,36_51_61
5.0B_2_4,3_54_72
5.0B_2_6,0_56_84
5.0B_2_8,0_58_97
5.0B_2_10,0_60_108
5.0B_3_2,56_74_87
5.0B_3_4,26_77_99
5.0B_3_6,0_80_110
5.0B_3_8,0_82_122
5.0B_3_10,0_84_134
5.0B_3_12,0_86_145
5.0B_4_2,81_99_112
5.0B_4_4,57_102_123
5.0B_4_6,7_105_135
5.0B_4_8,0_107_148
5.0B_4_10,0_110_159
5.0B_4_12,0_112_171
5.0B_4_14,0_115_183
5.0B_5_2,107_124_138
5.0B_5_4,85_128_149
5.0B_5_6,53_131_161
5.0B_5_8,0_133_173
5.0B_5_10,0_136_185
5.0B_5_12,0_139_198
5.0B_5_14,0_141_210
5.0B_5_16,0_144_223
5.0B_6_2,134_150_164
5.0B_6_4,112_154_175
5.0B_6_6,82_157_188
5.0B_6_8,25_160_200
5.0B_6_10,0_163_212
5.0B_6_12,0_165_224
5.0B_6_14,0_168_237
5.0B_6_16,0_172_250
5.0B_7_2,160_176_191
5.0B_7_4,138_180_203
5.0B_7_6,111_183_214
5.0B_7_8,72_187_226
5.0B_7_10,0_190_240
5.0B_7_12,0_193_254
5.0B_7_14,0_196_255
5.0B_8_2,188_202_218
5.0B_8_4,163_207_230
5.0B_8_6,135_210_243
5.0B_8_8,92_214_255
5.0B_9_2,214_229_247
5.0B_9_4,185_235_255
7.5B_1_2,14_30_42
7.5B_1_4,0_32_54
7.5B_1_6,0_33_65
7.5B_1_8,0_35_77
7.5B_2_2,37_51_63
7.5B_2_4,10_53_75
7.5B_2_6,0_55_88
7.5B_2_8,0_56_101
7.5B_2_10,0_58_114
7.5B_3_2,57_74_88
7.5B_3_4,34_76_102
7.5B_3_6,0_78_114
7.5B_3_8,0_80_126
7.5B_3_10,0_82_139
7.5B_3_12,0_84_152
7.5B_4_2,83_98_113
7.5B_4_4,63_101_126
7.5B_4_6,33_103_138
7.5B_4_8,0_105_152
7.5B_4_10,0_107_164
7.5B_4_12,0_109_177
7.5B_4_14,0_111_190
7.5B_5_2,109_124_139
7.5B_5_4,90_126_152
7.5B_5_6,65_129_164
7.5B_5_8,3_131_177
7.5B_5_10,0_133_191
7.5B_5_12,0_135_205
7.5B_5_14,0_138_218
7.5B_5_16,0_140_233
7.5B_6_2,136_149_165
7.5B_6_4,118_152_178
7.5B_6_6,93_155_191
7.5B_6_8,57_157_205
7.5B_6_10,0_160_218
7.5B_6_12,0_162_232
7.5B_6_14,0_165_247
7.5B_6_16,0_167_255
7.5B_7_2,163_175_192
7.5B_7_4,143_179_205
7.5B_7_6,120_181_218
7.5B_7_8,88_184_232
7.5B_7_10,0_187_247
7.5B_7_12,0_190_255
7.5B_8_2,190_201_219
7.5B_8_4,168_205_233
7.5B_8_6,143_209_247
7.5B_8_8,106_212_255
7.5B_9_2,217_228_247
7.5B_9_4,191_233_255
10.0B_1_2,16_30_44
10.0B_1_4,0_31_55
10.0B_1_6,0_32_66
10.0B_1_8,0_33_79
10.0B_2_2,39_50_64
10.0B_2_4,19_52_77
10.0B_2_6,0_53_90
10.0B_2_8,0_55_104
10.0B_2_10,0_56_117
10.0B_3_2,60_73_90
10.0B_3_4,41_75_103
10.0B_3_6,0_76_116
10.0B_3_8,0_78_129
10.0B_3_10,0_79_142
10.0B_3_12,0_81_156
10.0B_3_14,0_82_169
10.0B_4_2,86_97_114
10.0B_4_4,69_99_127
10.0B_4_6,47_101_140
10.0B_4_8,0_103_154
10.0B_4_10,0_104_167
10.0B_4_12,0_106_180
10.0B_4_14,0_108_194
10.0B_4_16,0_109_208
10.0B_5_2,112_123_140
10.0B_5_4,97_125_153
10.0B_5_6,77_127_167
10.0B_5_8,45_129_180
10.0B_5_10,0_130_194
10.0B_5_12,0_132_208
10.0B_5_14,0_134_222
10.0B_5_16,0_136_238
10.0B_5_18,0_138_251
10.0B_6_2,139_148_166
10.0B_6_4,124_151_179
10.0B_6_6,104_153_194
10.0B_6_8,78_155_208
10.0B_6_10,31_157_221
10.0B_6_12,0_159_237
10.0B_6_14,0_161_253
10.0B_6_16,0_163_255
10.0B_7_2,166_174_193
10.0B_7_4,149_177_206
10.0B_7_6,130_179_220
10.0B_7_8,106_181_235
10.0B_7_10,67_183_252
10.0B_7_12,0_186_255
10.0B_8_2,193_200_220
10.0B_8_4,175_203_235
10.0B_8_6,154_206_250
10.0B_8_8,124_209_255
10.0B_9_2,220_227_248
10.0B_9_4,197_231_255
2.5PB_1_2,19_29_44
2.5PB_1_4,3_30_56
2.5PB_1_6,0_30_68
2.5PB_1_8,0_30_80
2.5PB_2_2,41_50_65
2.5PB_2_4,28_50_78
2.5PB_2_6,0_51_92
2.5PB_2_8,0_52_106
2.5PB_2_10,0_52_119
2.5PB_2_12,0_52_132
2.5PB_3_2,63_72_91
2.5PB_3_4,50_73_105
2.5PB_3_6,29_74_118
2.5PB_3_8,0_75_131
2.5PB_3_10,0_75_144
2.5PB_3_12,0_76_158
2.5PB_3_14,0_77_172
2.5PB_4_2,89_97_115
2.5PB_4_4,77_98_129
2.5PB_4_6,62_99_142
2.5PB_4_8,35_100_156
2.5PB_4_10,0_100_169
2.5PB_4_12,0_101_183
2.5PB_4_14,0_102_197
2.5PB_4_16,0_103_212
2.5PB_4_18,0_103_226
2.5PB_5_2,115_122_141
2.5PB_5_4,103_123_154
2.5PB_5_6,89_124_169
2.5PB_5_8,70_125_183
2.5PB_5_10,39_126_197
2.5PB_5_12,0_127_211
2.5PB_5_14,0_128_225
2.5PB_5_16,0_129_241
2.5PB_5_18,0_130_255
2.5PB_6_2,142_147_167
2.5PB_6_4,131_149_180
2.5PB_6_6,116_150_195
2.5PB_6_8,99_151_210
2.5PB_6_10,76_152_225
2.5PB_6_12,21_154_241
2.5PB_6_14,0_155_255
2.5PB_7_2,169_173_193
2.5PB_7_4,157_175_208
2.5PB_7_6,142_176_222
2.5PB_7_8,125_178_238
2.5PB_7_10,100_179_255
2.5PB_8_2,196_199_220
